Year,Watershed,County,Crop,TrialType,TrialDetail,YieldDifference,TrialID,TrialReport,StalkNitrateReport,ScoutingReport
2007,West Fork Cedar,Cerro Gordo,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,22.5,ST2007001A,y,n,n
2007,West Fork Cedar,Franklin,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,11.6,ST2007002A,y,n,n
2007,Boone,Hamilton,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,-1.8,ST2007003A,y,n,n
2007,Boone,Hamilton,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,-0.1,ST2007004A,y,n,n
2007,Middle Des Moines,Webster,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,9.3,ST2007005A,y,n,n
2007,Upper Des Moines,Humboldt,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,2.1,ST2007007A,y,n,n
2007,Upper Des Moines,Humboldt,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,0.9,ST2007007B,y,n,n
2007,Middle Des Moines,Webster,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,-2.4,ST2007008A,y,n,n
2007,Upper Des Moines,Humboldt,Corn,Crop Protection - Insecticide and Seed Trait,CRW vs Aztec,6.8,ST2007010A,y,n,n
2007,Upper Wapsipinicon,Buchanan,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.1,ST2007011A,y,n,n
2007,Lower Iowa,Louisa,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,23.1,ST2007012A,y,n,n
2007,Lower Iowa,Washington,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,10.5,ST2007013A,y,n,n
2007,Skunk,Keokuk,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,7.8,ST2007015A,y,n,n
2007,Upper Iowa,Hardin,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,9.6,ST2007016A,y,n,n
2007,Turkey,Howard,Soybeans,Crop Management - Tillage,Deep-Tillage vs Conventional Tillage,0.6,ST2007017A,y,n,n
2007,One Hundred and Two,Taylor,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,2.4,ST2007018A,y,n,n
2007,Boone,Hamilton,Soybeans,Crop Protection - Fungicide,Quadris vs Untreated,2.2,ST2007019A,y,n,n
2007,Middle Cedar,Black Hawk,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.7,ST2007020A,y,n,n
2007,Upper Wapsipinicon,Fayette,Corn,Plant Nutrition - Lime,Lime (1st year) vs Untreated,0.5,ST2007021A,y,n,n
2007,North Skunk,Marshall,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,17.8,ST2007022A,y,n,n
2007,North Skunk,Marshall,Corn,Plant Nutrition - Nitrogen Timing,Fall vs Spring N,-0.6,ST2007022B,y,n,n
2007,Upper Des Moines,Humboldt,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,0.2,ST2007023B,y,n,n
2007,Shell Rock,Bremer,Corn,Crop Protection - Fungicide,Headline vs Untreated,6.9,ST2007029A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,-2.9,ST2007030A,y,n,n
2007,Upper Grand,Ringgold,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,7.5,ST2007031A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Lime,Lime (1st year) vs Untreated,1.1,ST2007032A,y,n,n
2007,Boone,Webster,Corn,Plant Nutrition - Manure + Nitrogen,Manure + High N Rate vs Manure + Low N Rate,6.8,ST2007033A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,22.1,ST2007034A,y,n,n
2007,Middle Des Moines,Dallas,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,38.2,ST2007039A,y,n,n
2007,Middle Des Moines,Dallas,Corn,Crop Protection - Fungicide,Stratego vs Untreated,4.6,ST2007040A,y,n,n
2007,Middle Des Moines,Dallas,Corn,Crop Protection - Fungicide,Stratego vs Untreated,2.5,ST2007040B,y,n,n
2007,Upper Des Moines,Humboldt,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,6.6,ST2007041A,y,n,n
2007,Upper Des Moines,Humboldt,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.9,ST2007042A,y,n,n
2007,Upper Des Moines,Palo Alto,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,10.2,ST2007043A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Quilt vs Untreated,3.8,ST2007044B,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,11.2,ST2007048A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,7.7,ST2007048B,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,1.6,ST2007054B,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Stratego vs Untreated,1.4,ST2007054C,y,n,n
2007,Lower Des Moines,Lee,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,12.1,ST2007055A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,2.3,ST2007056A,y,n,n
2007,Middle Des Moines,Greene,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,33.6,ST2007059B,y,n,n
2007,Middle Des Moines,Boone,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.5,ST2007060A,y,n,n
2007,Middle Des Moines,Boone,Corn,Crop Protection - Fungicide,Headline vs Untreated,9.4,ST2007063A,y,n,n
2007,Middle Des Moines,Boone,Corn,Crop Protection - Fungicide,Quilt vs Untreated,7.5,ST2007063B,y,n,n
2007,Middle Des Moines,Boone,Corn,Crop Protection - Fungicide,Quilt vs Untreated,2.5,ST2007064A,y,n,n
2007,Middle Des Moines,Boone,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,1.9,ST2007065A,y,n,n
2007,Middle Des Moines,Boone,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.2,ST2007066A,y,n,n
2007,Middle Des Moines,Boone,Soybeans,Crop Protection - Insecticide,Baythroid vs Untreated,10.8,ST2007066B,y,n,n
2007,Middle Iowa,Johnson,Corn,Crop Protection - Fungicide,Headline vs Untreated,25.5,ST2007068A,y,n,n
2007,Upper Des Moines,Pocahontas,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,9,ST2007074A,y,n,n
2007,Upper Des Moines,Pocahontas,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,2.6,ST2007075A,y,n,n
2007,Middle Des Moines,Pocahontas,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,13,ST2007076A,y,n,n
2007,North Raccoon,Greene,Corn,Crop Protection - Fungicide,Quilt vs Untreated,-2.8,ST2007078A,y,n,n
2007,North Raccoon,Greene,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,6.3,ST2007080A,y,n,n
2007,Middle Des Moines,Humboldt,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.4,ST2007085A,y,n,n
2007,Rock,Lyon,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,0.1,ST2007091A,y,n,n
2007,South Skunk,Story,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,3.9,ST2007095A,y,n,n
2007,South Skunk,Story,Corn,Crop Protection - Fungicide,Headline vs Untreated,1.5,ST2007096A,y,n,n
2007,South Skunk,Story,Corn,Crop Protection - Fungicide,Quilt vs Untreated,-0.9,ST2007097A,y,n,n
2007,South Skunk,Story,Corn,Crop Protection - Fungicide,Stratego vs Untreated,1.3,ST2007098A,y,n,n
2007,South Skunk,Jasper,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.3,ST2007101A,y,n,n
2007,South Skunk,Polk,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,7.3,ST2007102A,y,n,n
2007,Upper Iowa,Hancock,Corn,Crop Protection - Fungicide,Headline vs Untreated,3.1,ST2007103A,y,n,n
2007,Upper Iowa,Hancock,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,4.8,ST2007104B,y,n,n
2007,Upper Iowa,Hancock,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,7.2,ST2007104C,y,n,n
2007,Upper Iowa,Hancock,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,1.7,ST2007106A,y,n,n
2007,Winnebago,Hancock,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,2.3,ST2007107A,y,n,n
2007,Maquoketa,Buchanan,Corn,Crop Protection - Fungicide,Headline vs Untreated,11.8,ST2007109A,y,n,n
2007,Boone,Wright,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.8,ST2007110A,y,n,n
2007,North Skunk,Jasper,Corn,Plant Nutrition - Nitrogen Timing,Fall vs Spring N,-6.9,ST2007112A,y,n,n
2007,Upper Iowa,Hancock,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,19,ST2007113A,y,n,n
2007,Upper Iowa,Hancock,Corn,Plant Nutrition - Manure + Nitrogen,Manure + N vs Manure,29.3,ST2007114A,y,n,n
2007,Boone,Wright,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,1.3,ST2007115A,y,n,n
2007,Boone,Hamilton,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.8,ST2007117A,y,n,n
2007,Boone,Hamilton,Corn,Crop Protection - Fungicide,Headline vs Untreated,5.3,ST2007117B,y,n,n
2007,Boone,Hamilton,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.2,ST2007118A,y,n,n
2007,North Skunk,Mahaska,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,1,ST2007122A,y,n,n
2007,North Skunk,Mahaska,Soybeans,Crop Protection - Fungicide,Headline vs Untreated,0.3,ST2007122B,y,n,n
2007,North Raccoon,Calhoun,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,4.6,ST2007124A,y,n,n
2007,West Fork Cedar,Franklin,Soybeans,Crop Protection - Fungicide,Stratego vs Untreated,-0.7,ST2007125A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Crop Protection - Fungicide,Headline vs Untreated,2.7,ST2007126A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,3.4,ST2007126B,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Crop Protection - Fungicide,Headline vs Untreated,4.1,ST2007127A,y,n,n
2007,Upper Wapsipinicon,Chickasaw,Corn,Plant Nutrition - Nitrogen Rate,High vs Low N Rate,11.5,ST2007127B,y,n,n
